Rk,Player,Pos,Age,Team,G,MP,FG,2P,3P,eFG,FT,TS,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add
60,Chris Boucher\bouchch01,C,28,TOR,35,816,0.524,0.587,0.438,0.616,0.759,0.649,0.352,0.417,113,111,119,115,98,113,141,106,48,54.7
61,Brian Bowen\bowenbr02,SF,22,IND,1,5,0.5,0.5,,0.5,1,0.615,0.5,0,108,95,,93,128,108,201,,-0.1,0.2
62,Avery Bradley\bradlav01,SG,30,MIA,10,211,0.47,0.536,0.421,0.591,0.778,0.608,0.136,0.576,101,102,114,110,100,106,55,146,7.1,5
63,Tony Bradley\bradlto01,C,23,PHI,12,127,0.564,0.579,0,0.564,0.6,0.57,0.128,0.026,121,110,,105,77,100,52,6,2.1,-0.1
64,Jarrell Brantley\brantja01,PF,24,UTA,10,28,0.4,0.333,0.429,0.55,,0.55,0,0.7,86,63,116,102,,96,,177,0.3,-0.4
65,Ignas Brazdeikis\brazdig01,SF,22,NYK,4,7,0,0,,0,1,0.532,2,0,,,,,128,93,804,,-1.1,-0.1
66,Mikal Bridges\bridgmi01,SF,24,PHO,34,1104,0.526,0.621,0.426,0.629,0.838,0.661,0.249,0.483,113,118,116,117,108,116,100,122,59,63.7
67,Miles Bridges\bridgmi02,PF,22,CHO,35,937,0.491,0.577,0.383,0.576,0.932,0.609,0.164,0.446,106,109,104,107,120,106,66,113,20.9,21.3
68,Malcolm Brogdon\brogdma01,PG,28,IND,33,1178,0.451,0.486,0.387,0.519,0.904,0.552,0.156,0.352,97,92,105,97,116,97,63,89,-22.2,-25.7
69,Dillon Brooks\brookdi01,SF,25,MEM,28,811,0.399,0.444,0.325,0.461,0.81,0.487,0.137,0.384,86,84,88,86,104,85,55,97,-64.8,-76
70,Bruce Brown\brownbr01,PG,24,BRK,33,698,0.59,0.653,0.273,0.613,0.717,0.634,0.265,0.165,127,124,74,114,92,111,107,42,30,27.7
71,Jaylen Brown\brownja02,SG,24,BOS,32,1082,0.497,0.547,0.39,0.559,0.781,0.591,0.25,0.314,107,104,106,104,100,103,100,80,25.7,26.3
72,Moses Brown\brownmo01,C,21,OKC,7,31,0.7,0.7,,0.7,0.5,0.65,1.4,0,151,133,,130,64,114,563,,3.3,2.5
73,Sterling Brown\brownst02,SG,25,HOU,32,713,0.439,0.507,0.402,0.569,0.933,0.585,0.076,0.648,94,96,109,106,120,102,31,164,12.3,5.4
74,Troy Brown Jr.\browntr01,SF,21,WAS,17,231,0.366,0.455,0.289,0.444,0.583,0.459,0.169,0.535,79,86,79,83,75,80,68,136,-13.3,-17.2
